Ecological interaction type,High_Level_Tax_org1,genus_org1,species_org1,Accession_org1,High_Level_Tax_org2,genus_org2,species_org2,Accession_org2,Bib_ref,Bib_link,Observation_type
par,NA,Amoebophrya,NA,JN998202,NA,Dinophysis,acuminata,NA,(Alves-De-Souza et al. 2012),10.3354/ame01567,3
par,NA,Amoebophrya,NA,JN998203,NA,Dinophysis,acuminata,NA,(Alves-De-Souza et al. 2012),10.3354/ame01567,3
par,NA,Amoebophrya,NA,JN998204,NA,Dinophysis,acuminata,NA,(Alves-De-Souza et al. 2012),10.3354/ame01567,3
par,NA,Amoebophrya,NA,JN998205,NA,Dinophysis,acuminata,NA,(Alves-De-Souza et al. 2012),10.3354/ame01567,3
par,NA,Amoebophrya,NA,JN998206,NA,Dinophysis,acuminata,NA,(Alves-De-Souza et al. 2012),10.3354/ame01567,3
par,NA,Amoebophrya,NA,JN998207,NA,Dinophysis,acuminata,NA,(Alves-De-Souza et al. 2012),10.3354/ame01567,3
par,NA,Amoebophrya,NA,JN998208,NA,Phalacroma,rotundatum,NA,(Alves-De-Souza et al. 2012),10.3354/ame01567,3
par,NA,Amoebophrya,NA,JN998209,NA,Phalacroma,rotundatum,NA,(Alves-De-Souza et al. 2012),10.3354/ame01567,3
par,NA,Amoebophrya,NA,JN998210,NA,Phalacroma,rotundatum,NA,(Alves-De-Souza et al. 2012),10.3354/ame01567,3
par,NA,Amoebophrya,NA,JN998211,NA,Phalacroma,rotundatum,NA,(Alves-De-Souza et al. 2012),10.3354/ame01567,3
par,NA,Amoebophrya,NA,JN998212,NA,Phalacroma,rotundatum,NA,(Alves-De-Souza et al. 2012),10.3354/ame01567,3
par,NA,Amoebophrya,NA,JN998213,NA,Prorocentrum,micans,NA,(Alves-De-Souza et al. 2012),10.3354/ame01567,3
par,NA,Amoebophrya,NA,JN998214,NA,Prorocentrum,micans,NA,(Alves-De-Souza et al. 2012),10.3354/ame01567,3
par,NA,Amoebophrya,NA,JQ038241,NA,Prorocentrum,micans,NA,(Alves-De-Souza et al. 2012),10.3354/ame01567,3
symb,Prymnesiophyceae,NA,NA,NA,NA,Dictyocoryne,truncatum,NA,(Anderson & Matsuoka 1992),http://cat.inist.fr/?aModele=afficheN&cpsidt=4495971,2
symb,Prymnesiophyceae,NA,NA,NA,NA,Spongodrymus,NA,NA,(Anderson 1983),http://books.google.fr/books?id=G7DCuFhlAbUC,2
symb,Dinophyceae,NA,NA,NA,NA,Collosphaera,NA,NA,(Anderson et al. 1985),10.1017/S0025315400060951,2
symb,Chrysophyceae-Synurophyceae,NA,NA,NA,NA,Physematium,muelleri,NA,(Anderson et al. 1986),http://www.biolbull.org/content/171/1/175.short,2
symb,Dinophyceae,NA,NA,NA,NA,Spongaster,tetras,NA,(Anderson et al. 1989),10.1016/0377-8398(89)90013-3,2
symb,Dinophyceae,NA,NA,NA,NA,Tetrapetalon,elegans,NA,(Anderson et al. 1998),http://agris.fao.org/agris-search/search/display.do?f=1998/US/US98140.xml;US1997067057,2
symb,NA,Scrippsiella,NA,NA,NA,Collozoum,NA,NA,(Anderson et al. 1998),http://agris.fao.org/agris-search/search/display.do?f=1998/US/US98140.xml;US1997067057,2
par,NA,Amoebophrya,NA,GQ152565,NA,Karlodinium,veneficum,NA,(Bachvaroff et al. 2009),10.1111/j.1550-7408.2009.00433.x,3
symb,Prymnesiophyceae,NA,NA,NA,NA,Pulleniatina,obliquiloculata,NA,(Bé et al. 1977),http://www.jstor.org/stable/1485330,2
par,Syndiniales,NA,NA,HQ446964,NA,Actinomma,boreale,NA,(Bråte et al. 2012),10.1016/j.protis.2012.04.004,1
par,Syndiniales,NA,NA,HQ446966,NA,Actinomma,boreale,NA,(Bråte et al. 2012),10.1016/j.protis.2012.04.004,1
par,Syndiniales,NA,NA,HQ446967,NA,Actinomma,boreale,NA,(Bråte et al. 2012),10.1016/j.protis.2012.04.004,1
par,Syndiniales,NA,NA,HQ446973,NA,Ceratospyris,hyperborea,NA,(Bråte et al. 2012),10.1016/j.protis.2012.04.004,1
par,Syndiniales,NA,NA,HQ446971,NA,Challengeron,diodon,NA,(Bråte et al. 2012),10.1016/j.protis.2012.04.004,1
par,Syndiniales,NA,NA,HQ446970,NA,Cladococcus,viminalis,NA,(Bråte et al. 2012),10.1016/j.protis.2012.04.004,1
par,Syndiniales,NA,NA,HQ446961,NA,Hexacontium,gigantheum,NA,(Bråte et al. 2012),10.1016/j.protis.2012.04.004,1
par,Syndiniales,NA,NA,HQ446962,NA,Hexacontium,gigantheum,NA,(Bråte et al. 2012),10.1016/j.protis.2012.04.004,1
par,Syndiniales,NA,NA,HQ446968,NA,Hexacontium,gigantheum,NA,(Bråte et al. 2012),10.1016/j.protis.2012.04.004,1
par,Syndiniales,NA,NA,HQ446965,NA,Lithomelissa,setosa,NA,(Bråte et al. 2012),10.1016/j.protis.2012.04.004,1
par,Syndiniales,NA,NA,HQ446972,NA,Phorticium,clevei,NA,(Bråte et al. 2012),10.1016/j.protis.2012.04.004,1
par,Syndiniales,NA,NA,HQ446969,NA,Phorticium,pylonium,NA,(Bråte et al. 2012),10.1016/j.protis.2012.04.004,1
par,Syndiniales,NA,NA,HQ446963,NA,Streblacantha,circumtexta,NA,(Bråte et al. 2012),10.1016/j.protis.2012.04.004,1
par,Syndiniales,NA,NA,JN190886,NA,Streblacantha,circumtexta,NA,(Bråte et al. 2012),10.1016/j.protis.2012.04.004,1
symb,NA,Solenicola,setigera,NA,NA,Leptocylindrus,mediterraneus,NA,(Buck & Bentham 1998),10.1007/s002270050401,2
par,NA,Amoebophrya,acanthometrae,NA,NA,Acanthometra,pellucida,NA,(Cachon & Cachon 1987),http://www.obs-vlfr.fr/LOV/aquaparadox/html/PFD/Taxonomic%20Monographs/Cachon&Cachon1987.pdf,2
par,NA,Amoebophrya,ceratii,NA,Dinoflagellates,NA,NA,NA,(Cachon & Cachon 1987),http://www.obs-vlfr.fr/LOV/aquaparadox/html/PFD/Taxonomic%20Monographs/Cachon&Cachon1987.pdf,2
par,NA,Amoebophrya,grassei,NA,NA,Oodinium,acanthometrae,NA,(Cachon & Cachon 1987),http://www.obs-vlfr.fr/LOV/aquaparadox/html/PFD/Taxonomic%20Monographs/Cachon&Cachon1987.pdf,2
par,NA,Amoebophrya,leptodisci,NA,NA,Leptodiscus,medusoides,NA,(Cachon & Cachon 1987),http://www.obs-vlfr.fr/LOV/aquaparadox/html/PFD/Taxonomic%20Monographs/Cachon&Cachon1987.pdf,2
par,NA,Amoebophrya,rosei,NA,Hydrozoa,NA,NA,NA,(Cachon & Cachon 1987),http://www.obs-vlfr.fr/LOV/aquaparadox/html/PFD/Taxonomic%20Monographs/Cachon&Cachon1987.pdf,2
par,NA,Amoebophrya,rosei,NA,Sagittoidea,NA,NA,NA,(Cachon & Cachon 1987),http://www.obs-vlfr.fr/LOV/aquaparadox/html/PFD/Taxonomic%20Monographs/Cachon&Cachon1987.pdf,2
par,NA,Amoebophrya,sticholonchae,NA,NA,Sticholonche,NA,NA,(Cachon & Cachon 1987),http://www.obs-vlfr.fr/LOV/aquaparadox/html/PFD/Taxonomic%20Monographs/Cachon&Cachon1987.pdf,2
par,NA,Amoebophrya,tintinni,NA,NA,Xystonella,lohmanni,NA,(Cachon & Cachon 1987),http://www.obs-vlfr.fr/LOV/aquaparadox/html/PFD/Taxonomic%20Monographs/Cachon&Cachon1987.pdf,2
par,NA,Apodinium,chattoni,NA,Appendicularia,NA,NA,NA,(Cachon & Cachon 1987),http://www.obs-vlfr.fr/LOV/aquaparadox/html/PFD/Taxonomic%20Monographs/Cachon&Cachon1987.pdf,2
par,NA,Apodinium,mycetoides,NA,Appendicularia,NA,NA,NA,(Cachon & Cachon 1987),http://www.obs-vlfr.fr/LOV/aquaparadox/html/PFD/Taxonomic%20Monographs/Cachon&Cachon1987.pdf,2
par,NA,Apodinium,rhizophorum,NA,Appendicularia,NA,NA,NA,(Cachon & Cachon 1987),http://www.obs-vlfr.fr/LOV/aquaparadox/html/PFD/Taxonomic%20Monographs/Cachon&Cachon1987.pdf,2
par,NA,Apodinium,zygorhizum,NA,Appendicularia,NA,NA,NA,(Cachon & Cachon 1987),http://www.obs-vlfr.fr/LOV/aquaparadox/html/PFD/Taxonomic%20Monographs/Cachon&Cachon1987.pdf,2
par,NA,Atlanticellodinium,tregouffi,NA,NA,Planktonetta,atlantica,NA,(Cachon & Cachon 1987),http://www.obs-vlfr.fr/LOV/aquaparadox/html/PFD/Taxonomic%20Monographs/Cachon&Cachon1987.pdf,2
