OTU_id,lineage,kingdom,genus,species
170886,Eukaryota|Rhizaria|Radiolaria|Polycystinea|Collodaria-Nassellarida|Collodaria|Acrosphaera|Acrosphaera+sp.,Eukaryota,Acrosphaera,sp.
74518,Eukaryota|Opisthokonta|Metazoa|Arthropoda|Crustacea|Maxillopoda|Copepoda|Cyclopoida|Corycaeus|Corycaeus+speciosus,Eukaryota,Corycaeus,speciosus
98882,Eukaryota|Rhizaria|Radiolaria|Polycystinea|Collodaria-Nassellarida|Collodaria|Collosphaera|Collosphaera+globularis-huxleyi,Eukaryota,Collosphaera,globularis-huxleyi
189453,Eukaryota|Opisthokonta|Metazoa|Arthropoda|Crustacea|Maxillopoda|Copepoda|Cyclopoida|Oithona|Oithona+sp.,Eukaryota,Oithona,sp.
69000,Eukaryota|Rhizaria|Radiolaria|Polycystinea|Collodaria-Nassellarida|Collodaria|Collosphaera|Collosphaera+globularis-huxleyi,Eukaryota,Collosphaera,globularis-huxleyi
83541,Eukaryota|Hacrobia|Haptophyta|Prymnesiophyceae|Phaeocystales|Phaeocystaceae|Phaeocystis,Eukaryota,Phaeocystis,NA
93940,Eukaryota|Opisthokonta|Metazoa|Arthropoda|Crustacea|Maxillopoda|Copepoda|Calanoida|Acartia|Acartia+omorii,Eukaryota,Acartia,omorii
39647,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Gonyaulacales|15|Gonyaulacaceae|Gonyaulax_03|polygramma,Eukaryota,Gonyaulax,NA
231412,Eukaryota|Opisthokonta|Metazoa|Arthropoda|Crustacea|Maxillopoda|Copepoda|Calanoida|Acartia|Acartia+negligens,Eukaryota,Acartia,negligens
40832,Eukaryota|Rhizaria|Radiolaria|Polycystinea|Collodaria-Nassellarida|Collodaria|Collozoum|Collozoum+serpentinum,Eukaryota,Collozoum,serpentinum
144309,Eukaryota|Stramenopiles|Stramenopiles_X|Bacillariophyta|Bacillariophyta_X|Polar-centric-Mediophyceae|Chaetoceros|Chaetoceros+sp.,Eukaryota,Chaetoceros,sp.
169928,Eukaryota|Stramenopiles|Stramenopiles_X|Bacillariophyta|Bacillariophyta_X|Radial-centric-basal-Coscinodiscophyceae|Leptocylindrus,Eukaryota,Leptocylindrus,NA
83768,Eukaryota|Opisthokonta|Metazoa|Arthropoda|Crustacea|Maxillopoda|Copepoda|Calanoida|Centropages|Centropages+furcatus,Eukaryota,Centropages,furcatus
127092,Eukaryota|Opisthokonta|Metazoa|Arthropoda|Crustacea|Maxillopoda|Copepoda|Calanoida|Acartia|Acartia+negligens,Eukaryota,Acartia,negligens
198107,Eukaryota|Stramenopiles|Stramenopiles_X|MAST|MAST-3-12|MAST-3|Solenicola|Solenicola+sp.,Eukaryota,Solenicola,sp.
155036,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|19|Blastodiniaceae|Blastodinium_03|sp.,Eukaryota,Blastodinium,NA
23299,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Gonyaulacales|08|Gonyaulacaceae|Alexandrium_01,Eukaryota,Alexandrium,NA
75385,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Gonyaulacales|16|Gonyaulacaceae|Gonyaulax_04|sp.,Eukaryota,Gonyaulax,NA
169230,Eukaryota|Rhizaria|Radiolaria|RAD-B|RAD-B_X|Sticholonche|Sticholonche_X|Sticholonche_X+sp.,Eukaryota,Sticholonche,NA
181900,Eukaryota|Rhizaria|Radiolaria|Polycystinea|Collodaria-Nassellarida|Nassellarida|Ceratospyris|Ceratospyris+hyperborea,Eukaryota,Ceratospyris,hyperborea
217350,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Gymnodiniales|13|Gymnodiniaceae|Cochlodinium_01|fulvescens,Eukaryota,Cochlodinium,NA
123629,Eukaryota|Opisthokonta|Metazoa|Urochordata|Urochordata_X|Appendicularia|Oikopleura|Oikopleura+dioica,Eukaryota,Oikopleura,dioica
9360,Eukaryota|Rhizaria|Radiolaria|RAD-B|RAD-B_X|Sticholonche|Sticholonche_X|Sticholonche_X+sp.,Eukaryota,Sticholonche,NA
157662,Eukaryota|Rhizaria|Cercozoa|Filosa-Phaeodarea|Phaeocystida|Aulacanthidae|Aulacantha|Aulacantha+scolymantha,Eukaryota,Aulacantha,scolymantha
181705,Eukaryota|Rhizaria|Radiolaria|Polycystinea|Collodaria-Nassellarida|Collodaria|Collozoum|Collozoum+serpentinum,Eukaryota,Collozoum,serpentinum
146155,Eukaryota|Rhizaria|Radiolaria|Polycystinea|Collodaria-Nassellarida|Collodaria|Thalassicolla|Thalassicolla+nucleata,Eukaryota,Thalassicolla,nucleata
3649,Eukaryota|Rhizaria|Radiolaria|Polycystinea|Collodaria-Nassellarida|Collodaria|Collozoum,Eukaryota,Collozoum,NA
84792,Eukaryota|Rhizaria|Radiolaria|Polycystinea|Collodaria-Nassellarida|Collodaria|Sphaerozoum|Sphaerozoum+punctatum,Eukaryota,Sphaerozoum,punctatum
91154,Eukaryota|Alveolata|Dinophyta|Syndiniales|MALV-II|MALV-II-Clade-3|Amoebophrya,Eukaryota,Amoebophrya,NA
179440,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Noctilucales|04|Noctilucaceae|Noctiluca|scintillans,Eukaryota,Noctiluca,NA
