"","x"
"Photobacterium",19
"Weissella",18
"Gemmobacter",18
"Fusobacterium",17
"Paucibacter",15
"Yersinia",15
"Crenobacter",14
"Aurantisolimonas",14
"Paracoccus",14
"Ignatzschineria",14
"Lysinibacillus",14
"Plesiomonas",13
"Acinetobacter",13
"Chitinibacter",13
"Rheinheimera",13
"Cetobacterium",12
"Cloacibacterium",12
"Phreatobacter",12
"Tychonema",12
"Bacteroides",12
"Aeromonas",11
"Shewanella",11
"Undibacterium",11
"Chitinimonas",11
"Lactobacillus",11
"ZOR0006",10
"Pseudoduganella",10
"A-N-P-R",10
"Mycoplasma",9
"Fluviicola",9
"Luteimonas",9
"Defluviimonas",9
"Ensifer",9
"Peptostreptococcus",9
"Pseudomonas",8
"Flavobacterium",8
"Caenimonas",8
"Haliscomenobacter",8
"Bosea",8
"Silvanigrella",8
"Paraclostridium",6
"Runella",5
