"","x"
"Fluviicola",7
"Aeromonas",6
"Paucibacter",5
"Runella",5
"Cetobacterium",4
"Paraclostridium",4
"Yersinia",4
"Fusobacterium",4
"Paracoccus",4
"Ignatzschineria",4
"Bosea",4
"Bacteroides",4
"Pseudomonas",3
"Chitinibacter",3
"Crenobacter",3
"ZOR0006",3
"Pseudoduganella",3
"Cloacibacterium",3
"Photobacterium",3
"Chitinimonas",3
"Aurantisolimonas",3
"Phreatobacter",3
"Defluviimonas",3
"Tychonema",3
"Peptostreptococcus",3
"Plesiomonas",2
"Acinetobacter",2
"Undibacterium",2
"Flavobacterium",2
"Weissella",2
"Rheinheimera",2
"Luteimonas",2
"Gemmobacter",2
"Ensifer",2
"Haliscomenobacter",2
"Lactobacillus",2
"Mycoplasma",1
"A-N-P-R",1
"Lysinibacillus",1
"Silvanigrella",1
"Shewanella",0
"Caenimonas",0
