"","x"
"Paucibacter",21
"Phreatobacter",18
"Fusobacterium",17
"Cetobacterium",16
"Cloacibacterium",16
"Weissella",16
"ZOR0006",15
"Flavobacterium",15
"Yersinia",15
"Shewanella",14
"Aurantisolimonas",14
"Aeromonas",13
"Acinetobacter",13
"Crenobacter",13
"A-N-P-R",13
"Pseudoduganella",12
"Caenimonas",12
"Gemmobacter",12
"Ignatzschineria",12
"Lysinibacillus",12
"Lactobacillus",12
"Pseudomonas",11
"Chitinibacter",11
"Mycoplasma",11
"Photobacterium",11
"Fluviicola",11
"Rheinheimera",11
"Paracoccus",11
"Runella",11
"Haliscomenobacter",11
"Bosea",11
"Plesiomonas",10
"Undibacterium",10
"Paraclostridium",10
"Chitinimonas",10
"Defluviimonas",10
"Ensifer",10
"Tychonema",10
"Silvanigrella",10
"Luteimonas",9
"Peptostreptococcus",9
"Bacteroides",9
