"genus_1","genus_2","instability","weight"
"Ensifer","A-N-P-R",0,0.486580877105856
"Haliscomenobacter","Luteimonas",0,0.440675773865916
"ZOR0006","Crenobacter",0,0.399756181669283
"Rheinheimera","Chitinimonas",0,0.395602622418353
"ZOR0006","Cetobacterium",0,0.386337152405171
"Cetobacterium","Aeromonas",0,0.315992099338095
"Rheinheimera","Undibacterium",0,0.291592042719239
"Chitinibacter","Pseudomonas",0,0.281016948143983
"Fluviicola","Flavobacterium",0,0.277911799106906
"Luteimonas","Pseudoduganella",0,0.27272738749255
"Chitinimonas","Undibacterium",0,0.263890414792557
"Aurantisolimonas","Fluviicola",0,0.258353188436561
"Plesiomonas","Cetobacterium",0,0.249764727492596
"Bosea","Gemmobacter",0,0.248580275416704
"Paucibacter","Pseudomonas",0,0.235038228683611
"Bosea","Phreatobacter",0,0.233474715779954
"Gemmobacter","Aurantisolimonas",0,0.212839236953617
"Fluviicola","Cloacibacterium",0,0.207979390697024
"Defluviimonas","Fluviicola",0,0.206789690713934
"Acinetobacter","Pseudomonas",0,0.205591592942629
"Fusobacterium","Photobacterium",0,0.204799674131103
"Defluviimonas","Flavobacterium",0,0.202994953299557
"Crenobacter","Plesiomonas",0,0.20014008533197
"Caenimonas","Acinetobacter",0,0.199453443114386
"ZOR0006","Shewanella",0,0.196091367486468
"Caenimonas","Undibacterium",0,0.195124575499167
"Chitinibacter","Paucibacter",0,0.194477713885088
"Lactobacillus","Photobacterium",0,0.184327190202486
"Chitinimonas","Pseudoduganella",0,0.182823930290202
"Ensifer","Cloacibacterium",0,0.181986962831284
"Bacteroides","Photobacterium",0,0.178250502429418
"Chitinibacter","Acinetobacter",0,0.175898121958967
"Lysinibacillus","Ignatzschineria",0,0.173545385889525
"ZOR0006","Acinetobacter",0,0.172765694390782
"Weissella","Fluviicola",0,-0.17083052846393
"Tychonema","Yersinia",0,0.160574305254583
"Photobacterium","Mycoplasma",0,0.157792379415255
"Bacteroides","Paracoccus",0,0.154651193978753
"Peptostreptococcus","Paracoccus",0,0.15105704372149
"Haliscomenobacter","A-N-P-R",0,0.148206417096059
"Tychonema","Paracoccus",0,0.148025108061162
"Ignatzschineria","Yersinia",0,0.147316900017254
"Lactobacillus","Tychonema",0,0.146958014241734
"Paracoccus","Yersinia",0,0.146616668093448
"Runella","Pseudoduganella",0,0.146380490751969
"Cloacibacterium","Crenobacter",0,0.140840929274478
"Ensifer","Flavobacterium",0,0.13964936595629
"Crenobacter","Pseudomonas",0,0.136121975502844
"Phreatobacter","Fluviicola",0,0.135448596497949
"Ignatzschineria","Fusobacterium",0,0.130169210116593
"Gemmobacter","ZOR0006",0,0.128994952666798
"Chitinimonas","Acinetobacter",0,0.126205075094128
"Fusobacterium","Weissella",0,0.125487535195861
"Lysinibacillus","Yersinia",0,0.125298397852012
"Shewanella","Plesiomonas",0,0.124949984192581
"Bacteroides","Yersinia",0,0.122794237699956
"Weissella","Photobacterium",0,0.120747217617157
"Luteimonas","Chitinimonas",0,0.120429549528474
"Chitinibacter","Aeromonas",0,0.118579740092823
"Fluviicola","Paucibacter",0,0.116498184972288
"Phreatobacter","Aurantisolimonas",0,0.116319089240522
"Ignatzschineria","Photobacterium",0,0.11554044305276
"Peptostreptococcus","Ignatzschineria",0,0.114938933639996
"Silvanigrella","Photobacterium",0,0.113048304345956
"Caenimonas","Rheinheimera",0,0.105934457778463
"Aurantisolimonas","Aeromonas",0,0.103170297591086
"Lysinibacillus","Fusobacterium",0,0.103066372511912
"Lactobacillus","Yersinia",0,0.10242497500461
"Bosea","Paucibacter",0,0.101796469057357
"Peptostreptococcus","Photobacterium",0,0.10105084871889
"Crenobacter","Shewanella",0,0.0996562731065574
"Ignatzschineria","Weissella",0,0.0979561200340077
