"genus_1","genus_2","instability","weight"
"Haliscomenobacter","Luteimonas",0,0.426448735354089
"Ensifer","A-N-P-R",0,0.402660897893369
"Rheinheimera","Chitinimonas",0,0.338663014638338
"ZOR0006","Crenobacter",0,0.329424461328241
"Chitinibacter","Pseudomonas",0,0.298451764181115
"Chitinimonas","Undibacterium",0,0.265220202304521
"Fusobacterium","Photobacterium",0,0.265135336648741
"Cetobacterium","Aeromonas",0,0.26017113358726
"Lactobacillus","Tychonema",0,0.256998554494887
"Plesiomonas","Cetobacterium",0,0.243078008188985
"Fluviicola","Flavobacterium",0,0.242352034910268
"Paucibacter","Pseudomonas",0,0.241080884789102
"ZOR0006","Cetobacterium",0,0.225063908019343
"Aurantisolimonas","Fluviicola",0,0.221951494014223
"Luteimonas","Pseudoduganella",0,0.220441160168088
"Rheinheimera","Undibacterium",0,0.216708298774477
"Paraclostridium","Aeromonas",0,0.215793937164467
"Lysinibacillus","Ignatzschineria",0,0.212745095048442
"Crenobacter","Plesiomonas",0,0.206823127790465
"Bacteroides","Paracoccus",0,0.203571198526275
"Acinetobacter","Pseudomonas",0,0.202480125318969
"Tychonema","Yersinia",0,0.192384233192536
"Ignatzschineria","Yersinia",0,0.190439917837448
"Bosea","Runella",0,0.190421309568145
"Paracoccus","Yersinia",0,0.188265793595717
"Ensifer","Cloacibacterium",0,0.187120092707701
"Tychonema","Paracoccus",0,0.18676673559688
"Ignatzschineria","Fusobacterium",0,0.185740692760657
"Chitinibacter","Paucibacter",0,0.184760765086943
"Peptostreptococcus","Paracoccus",0,0.183842541201423
"Fusobacterium","Weissella",0,0.169661288914204
"Peptostreptococcus","Ignatzschineria",0,0.169550466499792
"ZOR0006","Acinetobacter",0,0.167015847382845
"Fluviicola","Cloacibacterium",0,0.166010335723248
"Bosea","Phreatobacter",0,0.165690872366973
"Chitinibacter","Acinetobacter",0,0.164772248592062
"Lactobacillus","Photobacterium",0,0.156903773977682
"Aurantisolimonas","Aeromonas",0,0.156084385914133
"Gemmobacter","Aurantisolimonas",0,0.154387220710778
"Defluviimonas","Fluviicola",0,0.151943450539945
"Bacteroides","Peptostreptococcus",0,0.150920573423245
"ZOR0006","Shewanella",0,0.146874084028032
"Bacteroides","Photobacterium",0,0.144789412817891
"Caenimonas","Undibacterium",0,0.138058813982272
"Phreatobacter","Fluviicola",0,0.131710540587369
"Chitinimonas","Pseudoduganella",0,0.130878126457271
"Fusobacterium","Yersinia",0,0.130398286880081
"Bosea","Gemmobacter",0,0.130045713548304
"Chitinibacter","Cetobacterium",0,0.125915126376403
"Crenobacter","Pseudomonas",0,0.123803257409153
"Weissella","Mycoplasma",0,0.12197252613906
"Phreatobacter","Mycoplasma",0,-0.118549516244509
"Caenimonas","Rheinheimera",0,0.118082746067365
"Cloacibacterium","Flavobacterium",0,0.115793111876316
"Weissella","Photobacterium",0,0.114231757860467
"Defluviimonas","Aeromonas",0,0.113279408764206
"Paraclostridium","Cetobacterium",0,0.11267568010708
"Gemmobacter","ZOR0006",0,0.112217143932591
"Bacteroides","Yersinia",0,0.10851041750347
"Ignatzschineria","Photobacterium",0,0.108381348306564
"Shewanella","Plesiomonas",0,0.106980159999098
"Flavobacterium","Chitinibacter",0,0.10638744438882
"Haliscomenobacter","A-N-P-R",0,0.105535279779817
"A-N-P-R","Paucibacter",0,0.10491889772916
"Runella","Aeromonas",0,0.104206741420028
"Crenobacter","Shewanella",0,0.102774042302007
"Defluviimonas","Flavobacterium",0,0.102403974628595
"Ignatzschineria","Weissella",0,0.10201102376392
"Cloacibacterium","Crenobacter",0,0.100714096918918
"Runella","Pseudoduganella",0,0.1006590315089
"Chitinimonas","Acinetobacter",0,0.100266946731405
"Luteimonas","Chitinimonas",0,0.0999446310092217
"Haliscomenobacter","Undibacterium",0,0.099502760833531
"Chitinibacter","Aeromonas",0,0.0956419469715342
"Caenimonas","Acinetobacter",0,0.0951715138096669
"Runella","Cetobacterium",0,0.0951709693393209
"Haliscomenobacter","Runella",0,0.0906404235676825
"Lysinibacillus","Yersinia",0,0.0886206143135717
"Ensifer","Flavobacterium",0,0.0859181957385525
"Crenobacter","Cetobacterium",0,0.0850120184750834
"Caenimonas","Aurantisolimonas",0,0.0849083108993066
"Caenimonas","Aeromonas",0,0.0812579604350861
"Aurantisolimonas","Cloacibacterium",0,0.0811137295024033
"Silvanigrella","Tychonema",0,0.0801150139231573
"Runella","ZOR0006",0,0.0797791637923353
"Ensifer","Gemmobacter",0,0.0795398348903925
"Shewanella","Cetobacterium",0,0.0795146922392276
"Bacteroides","Paraclostridium",0,0.079297248520537
"Gemmobacter","Cloacibacterium",0,0.0791603482426689
"Fusobacterium","Mycoplasma",0,0.0785710170268026
"Paracoccus","Weissella",0,0.078284936881226
"Silvanigrella","Ignatzschineria",0,0.0782092516871542
"Silvanigrella","Paraclostridium",0,0.0779703106711263
"Silvanigrella","Runella",0,0.0753785311581635
"Crenobacter","Chitinibacter",0,0.0734904915842916
"Runella","Rheinheimera",0,0.0722705839496587
"Undibacterium","Acinetobacter",0,0.0715072010038933
"ZOR0006","Plesiomonas",0,0.0713946924983837
"Lysinibacillus","Plesiomonas",0,0.0707270156231035
"Lysinibacillus","Tychonema",0,0.0705671268258482
"Fluviicola","Paucibacter",0,0.068944002935346
"Lactobacillus","Lysinibacillus",0,0.0686717121067617
"Phreatobacter","Aurantisolimonas",0,0.0685351385209022
"Lactobacillus","Paracoccus",0,0.0685270253549553
"Ensifer","Luteimonas",0,0.0684026997188771
"Silvanigrella","Weissella",0,0.0682098805050432
