"","x"
"Plesiomonas",21
"Paraclostridium",18
"Aeromonas",17
"Paucibacter",17
"Photobacterium",16
"Fusobacterium",16
"Lactobacillus",16
"Rheinheimera",15
"Yersinia",15
"Silvanigrella",15
"Bacteroides",15
"Chitinibacter",14
"Weissella",14
"Paracoccus",14
"Peptostreptococcus",14
"Pseudomonas",13
"Acinetobacter",13
"Pseudoduganella",13
"Cloacibacterium",13
"Chitinimonas",13
"Ignatzschineria",13
"Lysinibacillus",13
"Shewanella",12
"ZOR0006",12
"Flavobacterium",12
"Mycoplasma",12
"Tychonema",12
"Undibacterium",11
"Crenobacter",10
"Fluviicola",10
"Defluviimonas",10
"Ensifer",10
"Cetobacterium",9
"A-N-P-R",9
"Aurantisolimonas",9
"Luteimonas",9
"Runella",9
"Haliscomenobacter",9
"Caenimonas",8
"Gemmobacter",8
"Bosea",8
"Phreatobacter",7
