"","x"
"Silvanigrella",21
"Peptostreptococcus",21
"Aeromonas",20
"Plesiomonas",20
"Paraclostridium",19
"Pseudoduganella",18
"Rheinheimera",18
"Bacteroides",18
"Undibacterium",17
"Photobacterium",17
"Runella",17
"Paucibacter",16
"Chitinimonas",16
"Yersinia",16
"Paracoccus",16
"Caenimonas",16
"Lactobacillus",16
"Luteimonas",15
"Ignatzschineria",15
"Lysinibacillus",15
"Cetobacterium",14
"Chitinibacter",14
"Shewanella",14
"Cloacibacterium",14
"Phreatobacter",14
"Gemmobacter",14
"Bosea",14
"Tychonema",14
"Pseudomonas",13
"Acinetobacter",13
"A-N-P-R",13
"Fluviicola",13
"Weissella",13
"ZOR0006",12
"Flavobacterium",12
"Mycoplasma",12
"Defluviimonas",12
"Haliscomenobacter",12
"Crenobacter",11
"Aurantisolimonas",10
"Fusobacterium",10
"Ensifer",9
