"genus_1","genus_2","instability","weight"
"Caenimonas","Undibacterium",0,0.461746094370113
"Bosea","Gemmobacter",0,0.381238688789988
"ZOR0006","Cetobacterium",0,0.37712042114522
"Shewanella","Acinetobacter",0,0.376865563873703
"Haliscomenobacter","Luteimonas",0,0.353129069078186
"Chitinibacter","Paucibacter",0,0.335157148590035
"Crenobacter","Chitinibacter",0,0.32536054057757
"Aurantisolimonas","Fluviicola",0,0.317347184643155
"Bosea","Cloacibacterium",0,0.312185915276495
"Paraclostridium","Plesiomonas",0,0.31197662808322
"Ensifer","A-N-P-R",0,0.303354521404742
"ZOR0006","Plesiomonas",0,0.277466929190482
"Runella","Pseudoduganella",0,0.263659900419338
"Fluviicola","Cloacibacterium",0,0.260143675702915
"Paraclostridium","Cetobacterium",0,0.256622567870572
"Haliscomenobacter","Pseudoduganella",0,0.233613215422493
"Ensifer","Defluviimonas",0,0.233341843666734
"Weissella","Mycoplasma",0,0.22308515958615
"Phreatobacter","Fluviicola",0,0.216879026552073
"Runella","Caenimonas",0,0.211390597978103
"Paucibacter","Pseudomonas",0,0.206648656092518
"Aurantisolimonas","Cloacibacterium",0,0.204594469315775
"Ensifer","Chitinimonas",0,0.200869147019764
"Shewanella","Pseudomonas",0,0.199926740519602
"Rheinheimera","Undibacterium",0,0.194595013727985
"Haliscomenobacter","A-N-P-R",0,0.192718534804667
"Haliscomenobacter","Ensifer",0,0.19169252880281
"Bosea","Aurantisolimonas",0,0.185482722961273
"Chitinibacter","Pseudomonas",0,0.181820065802835
"Lactobacillus","Shewanella",0,0.180920201777459
"Rheinheimera","Chitinimonas",0,0.178519711240916
"Plesiomonas","Aeromonas",0,0.177023414191467
"Yersinia","Photobacterium",0,0.176379602836926
"Lysinibacillus","Ignatzschineria",0,0.173012366617618
"Acinetobacter","Pseudomonas",0,0.170853032681514
"Defluviimonas","Rheinheimera",0,0.162173952972208
"Aurantisolimonas","Flavobacterium",0,0.160131768119291
"Plesiomonas","Cetobacterium",0,0.159160936816766
"Runella","Gemmobacter",0,0.157812718229419
"Phreatobacter","Chitinibacter",0,0.156807337682081
"Chitinimonas","A-N-P-R",0,0.152832761968384
"Runella","Acinetobacter",0,0.152555965750159
"Paracoccus","Fusobacterium",0,0.152302412162117
"Tychonema","Fusobacterium",0,0.149846706977793
"Defluviimonas","Chitinimonas",0,0.148154745014499
"Luteimonas","A-N-P-R",0,0.145850921707205
"Crenobacter","Cetobacterium",0,0.145018875131606
"Bosea","Runella",0,0.145014383410957
"Shewanella","Cetobacterium",0,0.144316880865296
"Cetobacterium","Aeromonas",0,0.144007606191309
"Flavobacterium","Paucibacter",0,0.143277372970325
"Lysinibacillus","Yersinia",0,0.140197158200951
"A-N-P-R","Pseudoduganella",0,0.136891591459849
"Ignatzschineria","Weissella",0,0.136506331485024
"Lactobacillus","Peptostreptococcus",0,0.136478908335702
"Pseudoduganella","Aeromonas",0,0.129235485891638
"Fluviicola","Flavobacterium",0,0.129087084463212
"Bacteroides","Silvanigrella",0,0.128872831312977
"Caenimonas","Acinetobacter",0,0.127705908441526
"Cloacibacterium","Flavobacterium",0,0.125278093862208
"Bacteroides","Lactobacillus",0,0.124562896471343
"Lysinibacillus","Weissella",0,0.123883647542172
"Pseudomonas","Aeromonas",0,0.12173427283971
"Fusobacterium","Weissella",0,0.121214911843819
"Bacteroides","Peptostreptococcus",0,0.119336138146934
"Defluviimonas","Phreatobacter",0,0.119093794162509
"ZOR0006","Shewanella",0,0.118739766256475
"Lactobacillus","Rheinheimera",0,0.11828111539494
"Phreatobacter","Aurantisolimonas",0,0.118090405352283
"Peptostreptococcus","Silvanigrella",0,0.117097241582674
"ZOR0006","Crenobacter",0,0.116230673493321
"Lactobacillus","Aeromonas",0,0.115507157863464
"Tychonema","Weissella",0,0.115142853233391
"Lactobacillus","Silvanigrella",0,0.113950551339681
"Fusobacterium","Photobacterium",0,0.113793761701767
"Ensifer","Luteimonas",0,0.111409047716002
"Fusobacterium","Mycoplasma",0,0.110648191859704
"Tychonema","Paracoccus",0,0.110199284701105
"Luteimonas","Cetobacterium",0,0.109144690508805
"Ignatzschineria","Yersinia",0,0.107740624096648
"Gemmobacter","Cloacibacterium",0,0.105539814188851
"Fluviicola","Crenobacter",0,0.104185026299365
"Fluviicola","Paucibacter",0,0.103147222649054
"Peptostreptococcus","Photobacterium",0,0.10101572526355
"Defluviimonas","Paucibacter",0,0.0972226669256626
"Caenimonas","Photobacterium",0,0.0964800368471995
"Ensifer","Rheinheimera",0,0.0949718591793453
"Lysinibacillus","Paracoccus",0,0.0932383077370455
"Ignatzschineria","Mycoplasma",0,0.0931609366517613
"Haliscomenobacter","Chitinimonas",0,0.0920052877462109
"Lysinibacillus","Tychonema",0,0.0918168700895281
"Peptostreptococcus","Yersinia",0,0.0896642330128925
