"genus_1","genus_2","instability","weight"
"Chitinibacter","Paucibacter",0,0.369446431919734
"ZOR0006","Cetobacterium",0,0.35546914110186
"Aurantisolimonas","Fluviicola",0,0.354257806464522
"Caenimonas","Undibacterium",0,0.345557038357905
"Shewanella","Acinetobacter",0,0.337693119294771
"Haliscomenobacter","Luteimonas",0,0.32251685920419
"Weissella","Mycoplasma",0,0.320326763535698
"Lysinibacillus","Ignatzschineria",0,0.310141244848366
"Ensifer","Defluviimonas",0,0.303761780698207
"Yersinia","Photobacterium",0,0.295887158588669
"Crenobacter","Chitinibacter",0,0.287690070669049
"Fluviicola","Cloacibacterium",0,0.276382472800092
"Ensifer","A-N-P-R",0,0.270005175287719
"ZOR0006","Plesiomonas",0,0.254571200441418
"Lysinibacillus","Yersinia",0,0.251696391539265
"Bosea","Gemmobacter",0,0.249350706239878
"Acinetobacter","Pseudomonas",0,0.249084207104088
"Paucibacter","Pseudomonas",0,0.235769964993423
"Paraclostridium","Plesiomonas",0,0.230359100327329
"Bacteroides","Peptostreptococcus",0,0.229577789801497
"Peptostreptococcus","Silvanigrella",0,0.229027811824728
"Flavobacterium","Paucibacter",0,0.218330934050418
"Tychonema","Fusobacterium",0,0.213744320737338
"Ensifer","Chitinimonas",0,0.21326485218706
"Chitinibacter","Pseudomonas",0,0.212589772466277
"Cloacibacterium","Flavobacterium",0,0.211975017731021
"Aurantisolimonas","Cloacibacterium",0,0.204696717588718
"Lactobacillus","Rheinheimera",0,0.19636326097876
"Fusobacterium","Photobacterium",0,0.185150681777085
"Bacteroides","Silvanigrella",0,0.178339713367691
"Haliscomenobacter","Ensifer",0,0.17016096362196
"Chitinimonas","A-N-P-R",0,0.168478457801351
"Rheinheimera","Undibacterium",0,0.165766417883804
"Paracoccus","Fusobacterium",0,0.164182286024403
"Bosea","Runella",0,0.160129093003926
"Luteimonas","Cetobacterium",0,0.151242640572736
"Ignatzschineria","Yersinia",0,0.148945243766285
"Phreatobacter","Aurantisolimonas",0,0.148325001224501
"Fusobacterium","Weissella",0,0.147410045517104
"Lactobacillus","Peptostreptococcus",0,0.144508100837826
"Crenobacter","Cetobacterium",0,0.141067836731116
"Shewanella","Pseudomonas",0,0.138355465276481
"Shewanella","Cetobacterium",0,0.135089553872072
"Rheinheimera","Aeromonas",0,0.133635353551775
"Ignatzschineria","Weissella",0,0.131903122022207
"Bosea","Aurantisolimonas",0,0.130100859622705
"Defluviimonas","Chitinimonas",0,0.128139599936926
"Fluviicola","Flavobacterium",0,0.127158230965994
"Haliscomenobacter","Aeromonas",0,0.124518918756189
"Runella","Caenimonas",0,0.123719144827304
"Paraclostridium","Cetobacterium",0,0.123496468764908
"Pseudoduganella","Aeromonas",0,0.123481936890394
"Defluviimonas","Rheinheimera",0,0.120174085388772
"Phreatobacter","Fluviicola",0,0.120030427582843
"Tychonema","Paracoccus",0,0.118980079102701
"Lysinibacillus","Tychonema",0,0.118110900188826
"Plesiomonas","Cetobacterium",0,0.11691747406654
"Bacteroides","Lactobacillus",0,0.116028606452947
"Paucibacter","Acinetobacter",0,0.11574045517765
"Lactobacillus","Silvanigrella",0,0.114949266262497
"Runella","Pseudoduganella",0,0.114870592236482
"Fusobacterium","Mycoplasma",0,0.114361889779436
"Haliscomenobacter","Pseudoduganella",0,0.111439433428706
"Tychonema","Photobacterium",0,0.110617131278472
"Fluviicola","Paucibacter",0,0.109482155538455
"Pseudomonas","Aeromonas",0,0.109362397695813
"Lysinibacillus","Paracoccus",0,0.109207546395618
"Runella","Acinetobacter",0,0.109197041746632
"Haliscomenobacter","Ignatzschineria",0,0.108749374592835
"Paracoccus","Photobacterium",0,0.107407611157715
"Paucibacter","Plesiomonas",0,-0.105016707290845
"Rheinheimera","Chitinimonas",0,0.103888253337571
"Yersinia","Weissella",0,0.103391495969663
"Cloacibacterium","Crenobacter",0,0.103328724564603
"Bosea","Cloacibacterium",0,0.102697556823373
"Haliscomenobacter","Paraclostridium",0,0.102352796070403
"Chitinimonas","Aeromonas",0,0.0998711816550238
"Defluviimonas","Phreatobacter",0,0.0963400768985354
"Runella","Gemmobacter",0,0.0945961218559653
"A-N-P-R","Pseudomonas",0,0.0942997466168576
"Luteimonas","Plesiomonas",0,0.093328155036978
"A-N-P-R","Pseudoduganella",0,0.0928794886775738
"Lactobacillus","Shewanella",0,0.0885775989584326
"Gemmobacter","Plesiomonas",0,0.0880022135916954
"Fusobacterium","Yersinia",0,0.0873077952040578
"Caenimonas","Cetobacterium",0,0.0858667542341702
"Aurantisolimonas","Plesiomonas",0,0.0842194139871286
"Pseudoduganella","Cetobacterium",0,0.0838571399991342
"Chitinibacter","Plesiomonas",0,-0.0836480043852356
"Peptostreptococcus","Tychonema",0,0.0822861263675533
"Shewanella","Aeromonas",0,0.081834346971967
"Phreatobacter","Chitinibacter",0,0.0805738698398032
"Cloacibacterium","Chitinibacter",0,0.0799090615453372
"ZOR0006","Crenobacter",0,0.0788649829017316
"Ensifer","Gemmobacter",0,0.0773910470749743
"Rheinheimera","Paraclostridium",0,0.0748368746650944
"Rheinheimera","Plesiomonas",0,0.0747250176787485
"Crenobacter","Pseudomonas",0,0.0746361572897746
"Gemmobacter","Cloacibacterium",0,0.0736034377859293
"Cetobacterium","Aeromonas",0,0.0733547981469156
"ZOR0006","Shewanella",0,0.0716898303622037
"Tychonema","Ignatzschineria",0,0.070180895113678
