"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"
"Gaulke_2019-mod_ASV001"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Aeromonadales"	"Aeromonadaceae"	"Aeromonas"
"Gaulke_2019-mod_ASV002"	"Bacteria"	"Fusobacteriota"	"Fusobacteriia"	"Fusobacteriales"	"Fusobacteriaceae"	"Cetobacterium"
"Gaulke_2019-mod_ASV003"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Plesiomonas"
"Gaulke_2019-mod_ASV004"	"Bacteria"	"Fusobacteriota"	"Fusobacteriia"	"Fusobacteriales"	"Fusobacteriaceae"	"Cetobacterium"
"Gaulke_2019-mod_ASV005"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"
"Gaulke_2019-mod_ASV006"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Acinetobacter"
"Gaulke_2019-mod_ASV007"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Paucibacter"
"Gaulke_2019-mod_ASV008"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Chitinibacteraceae"	"Chitinibacter"
"Gaulke_2019-mod_ASV009"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Shewanellaceae"	"Shewanella"
"Gaulke_2019-mod_ASV010"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Mitochondria"	NA
"Gaulke_2019-mod_ASV011"	"Bacteria"	"Cyanobacteria"	"Cyanobacteriia"	"Chloroplast"	NA	NA
"Gaulke_2019-mod_ASV012"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Chromobacteriaceae"	"Crenobacter"
"Gaulke_2019-mod_ASV013"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Chitinibacteraceae"	"Chitinibacter"
"Gaulke_2019-mod_ASV014"	"Bacteria"	"Firmicutes"	"Bacilli"	"Erysipelotrichales"	"Erysipelotrichaceae"	"ZOR0006"
"Gaulke_2019-mod_ASV015"	"Bacteria"	"Firmicutes"	"Bacilli"	"Erysipelotrichales"	"Erysipelotrichaceae"	"ZOR0006"
"Gaulke_2019-mod_ASV016"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Oxalobacteraceae"	"Undibacterium"
"Gaulke_2019-mod_ASV017"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Shewanellaceae"	"Shewanella"
"Gaulke_2019-mod_ASV018"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"
"Gaulke_2019-mod_ASV019"	"Bacteria"	"Firmicutes"	"Bacilli"	"Mycoplasmatales"	"Mycoplasmataceae"	"Mycoplasma"
"Gaulke_2019-mod_ASV020"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Oxalobacteraceae"	"Pseudoduganella"
"Gaulke_2019-mod_ASV021"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"
"Gaulke_2019-mod_ASV022"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Shewanellaceae"	"Shewanella"
"Gaulke_2019-mod_ASV023"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"
"Gaulke_2019-mod_ASV024"	"Bacteria"	"Fusobacteriota"	"Fusobacteriia"	"Fusobacteriales"	"Fusobacteriaceae"	"Cetobacterium"
"Gaulke_2019-mod_ASV025"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Weeksellaceae"	"Cloacibacterium"
"Gaulke_2019-mod_ASV026"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Photobacterium"
"Gaulke_2019-mod_ASV027"	"Bacteria"	"Firmicutes"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"Peptostreptococcaceae"	"Paraclostridium"
"Gaulke_2019-mod_ASV028"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Chitinibacteraceae"	NA
"Gaulke_2019-mod_ASV029"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Barnesiellaceae"	NA
"Gaulke_2019-mod_ASV030"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Gaulke_2019-mod_ASV031"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Chitinimonadaceae"	"Chitinimonas"
